x0,x1,x2,x3,y
0.816,-0.496,1.134,-0.764,2
-1.497,-0.331,-0.151,0.491,0
-2.298,1.062,1.451,0.194,3
1.294,-2.399,-0.966,0.557,0
0.07,-0.0,0.897,-0.531,2
0.132,-0.596,-0.485,1.713,3
0.385,-0.505,0.33,-0.945,0
-1.029,0.098,-1.794,0.375,0
-0.718,1.647,0.115,-0.62,2
-0.237,1.495,-0.942,-0.04,1
-0.471,-1.758,-0.659,0.108,0
1.443,0.225,0.089,-0.25,1
-1.735,-0.053,-1.039,1.321,3
0.721,0.558,1.61,0.664,2
1.719,-0.226,0.214,-0.182,1
0.734,0.112,-0.606,-0.974,1
1.871,0.384,1.017,0.788,2
-0.851,-0.582,-0.896,0.485,0
0.743,-0.591,1.288,-1.048,2
0.063,0.329,0.236,1.594,3
0.373,-0.172,-0.981,0.272,1
1.085,-0.198,0.789,-1.569,2
-2.586,1.277,-1.178,-0.582,0
0.209,1.345,-0.557,0.084,1
-0.435,0.389,0.196,-0.126,2
-2.503,0.146,0.119,0.693,3
1.006,-1.199,-0.778,-0.177,0
-0.02,0.274,-1.667,-1.162,1
0.124,0.157,0.677,0.92,3
-1.178,-0.761,-0.103,0.687,0
2.398,-0.785,-0.549,0.168,1
1.337,0.166,0.189,0.314,2
-1.98,-0.948,-1.015,1.606,0
-0.237,-1.581,-0.187,0.185,0
-0.58,0.943,-1.083,0.438,1
-1.332,0.608,-1.617,0.724,3
0.503,-0.398,0.418,1.541,3
0.932,1.061,-0.027,-1.25,1
-0.01,1.098,-0.602,-0.301,1
-0.298,0.585,1.203,-0.333,2
0.391,1.51,-0.103,-0.582,1
1.521,1.033,-0.972,1.698,1
1.676,-1.365,-1.267,-0.164,1
-0.251,1.497,1.067,1.873,2
-0.721,0.176,1.543,1.745,3
0.966,1.25,-0.316,-1.115,1
0.041,0.065,-0.996,0.63,1
1.477,0.203,0.859,1.191,2
-1.209,-0.291,-0.345,2.333,3
-0.603,0.751,0.437,-0.422,2
0.619,0.038,-0.49,-1.392,1
0.09,-0.501,1.008,-0.466,0
-0.425,1.313,0.417,-0.25,2
-0.113,-1.528,-0.705,-0.67,0
2.266,0.053,-1.107,1.146,1
0.405,0.615,0.503,-0.197,2
0.493,0.347,0.343,-0.058,2
-0.795,1.177,-0.768,-1.775,1
1.417,-1.139,-0.968,0.093,1
-1.174,-1.025,-0.403,-0.055,0
-0.312,-1.037,-0.106,-0.307,0
0.034,-0.384,-0.05,0.453,3
0.034,-0.19,0.108,1.163,3
-1.187,-0.006,0.294,0.574,3
-0.398,-0.021,1.332,-0.147,2
0.158,1.396,-1.818,0.276,1
0.554,-1.113,0.321,-1.446,0
0.638,-0.219,0.296,-1.042,1
0.883,-0.248,0.283,0.559,2
0.225,-1.581,-0.852,-0.418,0
-0.781,1.656,0.817,-1.396,2
0.857,-1.45,-0.103,0.06,0
